poly,cate_id,cate_text,vietocr_text
"[110, 138, 410, 134, 410, 154, 110, 156]",15,SELLER,SIEU THI BACH HOA TONG HOP
"[146, 166, 372, 164, 372, 182, 146, 184]",16,ADDRESS,80.5 Câm Tây Cấm Phá - QN
"[116, 192, 416, 190, 416, 204, 116, 204]",0,OTHER,10000001000000199
"[302, 214, 404, 214, 404, 228, 302, 226]",0,OTHER,000100000120
"[142, 214, 250, 212, 250, 226, 142, 226]",0,OTHER,Innuverers
"[150, 244, 362, 244, 362, 268, 150, 270]",0,OTHER,HÓA ĐƠN BẢN HẰNG
"[192, 282, 320, 282, 320, 296, 192, 296]",0,OTHER,0310100700207
"[346, 306, 430, 306, 430, 320, 346, 320]",0,OTHER,Thanh tiên
"[72, 306, 146, 310, 145, 326, 72, 322]",0,OTHER,Ton hang
"[206, 304, 240, 304, 240, 322, 206, 322]",0,OTHER,ĐVT
"[168, 304, 188, 304, 188, 322, 168, 322]",0,OTHER,SL
"[266, 304, 328, 304, 328, 324, 266, 322]",0,OTHER,Đơn giá
"[65, 327, 186, 328, 186, 346, 65, 345]",0,OTHER,0925208626019
"[66, 356, 250, 356, 250, 370, 66, 374]",0,OTHER,Hộp đựng kim chi 601 NT
"[386, 378, 442, 376, 442, 394, 386, 394]",0,OTHER,"17,000"
"[284, 380, 336, 378, 336, 396, 284, 394]",0,OTHER,"17,000"
"[64, 402, 178, 404, 178, 420, 64, 420]",0,OTHER,290356250000
"[64, 428, 198, 428, 198, 446, 64, 446]",0,OTHER,Khăn mạt 28M NT
"[388, 452, 442, 452, 442, 470, 388, 470]",0,OTHER,"10,700"
"[282, 454, 336, 454, 336, 470, 282, 470]",0,OTHER,"10,700"
"[196, 456, 224, 456, 224, 468, 196, 468]",0,OTHER,BULL
"[56, 484, 120, 484, 120, 502, 56, 504]",0,OTHER,Tổng sốt
"[154, 488, 194, 486, 194, 502, 154, 504]",0,OTHER,2.00
"[56, 506, 246, 510, 246, 524, 56, 528]",18,TOTAL_COST,Tổng cộng (đã gồm VAT)
"[390, 508, 446, 510, 446, 526, 390, 526]",18,TOTAL_COST,"27,700"
"[384, 536, 448, 536, 448, 554, 384, 554]",0,OTHER,"100,000"
"[242, 536, 278, 536, 278, 554, 242, 554]",0,OTHER,VND
"[58, 536, 178, 536, 178, 554, 58, 554]",0,OTHER,Tiên khách trá:
"[62, 564, 184, 564, 184, 582, 62, 582]",0,OTHER,Tiến trả lại VND
"[394, 564, 448, 564, 448, 584, 394, 582]",0,OTHER,"72,300"
"[42, 598, 277, 595, 277, 615, 42, 616]",0,OTHER,IN SO GD: 000AD2212008000616
"[280, 598, 442, 596, 442, 618, 280, 620]",17,OTHER,Ngày: 09/08/2020-17
"[152, 628, 362, 626, 362, 646, 152, 646]",0,OTHER,Thu ngân: NGUYENTHITHUY
"[150, 658, 363, 657, 361, 677, 150, 672]",0,OTHER,"Xin cầm an quý khách hàng"""
"[106, 718, 412, 718, 412, 746, 106, 746]",0,OTHER,000AD2212008000616
