poly,cate_id,cate_text,vietocr_text
"[196, 90, 322, 90, 322, 110, 196, 108]",16,ADDRESS,VM+ QNH 690 Trần Phú
"[178, 112, 341, 116, 339, 134, 178, 130]",16,ADDRESS,"Sỏ 590 Trần Phú, P. Cảm Thuy"
"[22, 123, 140, 126, 139, 158, 21, 155]",15,SELLER,VinCommerce
"[190, 136, 328, 136, 328, 154, 190, 152]",16,ADDRESS,"TP. Căm Phả, Quảng Ninh Nha"
"[204, 158, 312, 160, 312, 178, 204, 176]",0,OTHER,024.71068866-43581
"[132, 196, 266, 198, 266, 216, 132, 214]",0,OTHER,HÓA ƠN BÁN HẢNG
"[18, 216, 238, 220, 238, 238, 18, 234]",17,TIMESTAMP,Ngày bán: 15/08/2020 10:07
"[286, 220, 376, 220, 376, 238, 286, 238]",0,OTHER,11:00133758
"[18, 236, 90, 238, 90, 256, 18, 256]",0,OTHER,quấy:001
"[272, 244, 384, 242, 384, 258, 272, 258]",0,OTHER,NNBB: 090204971
"[18, 280, 92, 280, 92, 300, 18, 298]",0,OTHER,Mặt hàng
"[320, 282, 378, 282, 378, 302, 320, 302]",0,OTHER,T. Tiển
"[264, 288, 280, 288, 280, 300, 264, 300]",0,OTHER,SL
"[174, 284, 230, 284, 230, 302, 174, 300]",0,OTHER,dn giá
"[18, 302, 334, 306, 334, 322, 18, 318]",0,OTHER,"Nho đỏ Việt Nam 65.300/KG X 1, KG THỊ NGHY"
"[18, 321, 134, 324, 133, 344, 17, 341]",0,OTHER,2600879002327
"[330, 326, 386, 326, 386, 344, 330, 344]",0,OTHER,15.150
"[184, 328, 238, 326, 238, 344, 184, 344]",0,OTHER,15.150
"[18, 344, 290, 348, 290, 366, 18, 364]",0,OTHER,"Quýt đường 52.700/KG X 0,272 KG"
"[18, 365, 134, 368, 133, 387, 17, 384]",0,OTHER,2600900002722
"[186, 372, 238, 372, 238, 388, 186, 388]",0,OTHER,14.334
"[332, 372, 384, 372, 384, 388, 332, 388]",0,OTHER,14.334
"[20, 390, 171, 391, 169, 410, 20, 404]",0,OTHER,CP XƯƠNG ÔNG 5009
"[18, 410, 134, 410, 134, 428, 18, 428]",0,OTHER,8935058962067
"[182, 412, 238, 414, 238, 430, 182, 430]",0,OTHER,20.000
"[330, 412, 386, 412, 386, 430, 330, 430]",0,OTHER,20.000
"[18, 428, 360, 434, 360, 450, 18, 448]",0,OTHER,"""cải ngọt L1 Vineco 24.000/KG X 0,424 KG NGUY"
"[18, 452, 134, 452, 134, 470, 18, 470]",0,OTHER,2603117004244
"[184, 454, 238, 454, 238, 472, 184, 472]",0,OTHER,10.176
"[330, 454, 386, 454, 386, 472, 330, 472]",0,OTHER,10.176
"[18, 492, 204, 496, 204, 514, 18, 514]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[330, 498, 386, 498, 386, 514, 330, 514]",18,TOTAL_COST,59.660
"[18, 516, 160, 516, 160, 534, 18, 536]",0,OTHER,TỔNG TIỀN Ã GIẢM
"[16, 536, 142, 536, 142, 556, 16, 556]",0,OTHER,TIẾN KHÁCH TRẢ
"[330, 540, 386, 540, 386, 558, 330, 558]",0,OTHER,60.000
"[26, 560, 74, 560, 74, 578, 26, 578]",0,OTHER,Vinid
"[330, 562, 386, 562, 386, 580, 330, 578]",0,OTHER,60.000
"[16, 580, 126, 582, 126, 600, 16, 600]",0,OTHER,TIẾN TRẢ LẠI
"[88, 604, 314, 604, 314, 622, 88, 622]",0,OTHER,GGá đã bao gồm thuế gigt)
"[244, 648, 386, 648, 386, 666, 244, 666]",0,OTHER,XXXXXXXXXXXXXXXI9
"[16, 650, 168, 648, 168, 666, 16, 668]",0,OTHER,ID thẻ khách hàng
"[14, 670, 236, 668, 236, 688, 14, 690]",0,OTHER,Tiểm tích(1.000VND-1 điểm)
"[14, 694, 134, 692, 134, 710, 14, 712]",0,OTHER,Số tham chiếu
"[234, 691, 388, 691, 388, 709, 234, 709]",0,OTHER,00435800100133758
"[76, 756, 318, 758, 318, 778, 76, 776]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[14, 782, 388, 782, 388, 800, 14, 800]",0,OTHER,It in Tax invoice will be issued within same day sone
"[58, 824, 336, 826, 336, 844, 58, 842]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[12, 848, 380, 850, 380, 864, 12, 866]",0,OTHER,Hot Tine: 02471066866 Website: Vinmart.COM
