poly,cate_id,cate_text,vietocr_text
"[140, 70, 276, 71, 275, 86, 140, 84]",16,ADDRESS,VIÊN THỊ KHU 38 CÁM THU
"[152, 86, 206, 88, 206, 100, 152, 100]",16,ADDRESS,"T0 3, Khu 38"
"[30, 87, 119, 94, 117, 118, 28, 111]",15,SELLER,VinCommerce
"[152, 104, 264, 86, 264, 122, 152, 118]",16,ADDRESS,TP. Còm Phá Trung
"[164, 120, 248, 122, 248, 136, 164, 134]",0,OTHER,02471056010-45870
"[112, 148, 212, 150, 212, 162, 112, 162]",0,OTHER,NGA ƠN BĂN HĂNG
"[30, 158, 192, 166, 192, 178, 30, 172]",17,TIMESTAMP,Ngày bán: 12/08/2020 21144
"[228, 168, 294, 168, 294, 180, 228, 180]",0,OTHER,0100046000
"[28, 174, 82, 176, 82, 188, 28, 188]",0,OTHER,quay:001
"[214, 184, 300, 184, 300, 196, 214, 196]",0,OTHER,INVOI1:09024521
"[28, 204, 83, 208, 81, 223, 28, 218]",0,OTHER,vất hàng
"[144, 212, 186, 212, 186, 226, 144, 224]",0,OTHER,Tơn giá
"[208, 214, 222, 214, 222, 226, 208, 226]",0,OTHER,SL
"[254, 214, 294, 214, 294, 228, 254, 228]",0,OTHER,Tiến
"[28, 219, 236, 230, 236, 242, 27, 233]",0,OTHER,OKAMURA DỤNG CỤ CẠO NƯỜI TH2 THỊ THO NGHI THONH CHO THI THONG CHO THONG CHO THONG CHO THONG CHO THONG CHO THONG CHO THONG CHO THO
"[28, 235, 114, 240, 113, 253, 27, 249]",0,OTHER,4983435758400
"[150, 244, 192, 244, 192, 256, 150, 256]",0,OTHER,22.000
"[260, 246, 300, 246, 300, 258, 260, 258]",0,OTHER,22.000
"[26, 266, 166, 272, 166, 286, 26, 280]",18,TOTAL_COST,THN THẾ THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI THÁI T
"[260, 278, 300, 278, 300, 290, 260, 290]",18,TOTAL_COST,22.000
"[26, 280, 132, 288, 132, 300, 24, 295]",0,OTHER,TỔNG TIẾN Ả GIÂM
"[26, 300, 120, 304, 120, 316, 26, 312]",0,OTHER,TIỀN KHÁCH TRÀ
"[260, 308, 300, 310, 300, 322, 260, 320]",0,OTHER,22.000
"[32, 316, 86, 318, 86, 330, 32, 330]",0,OTHER,TIÊN VẬT
"[258, 324, 300, 324, 300, 336, 258, 336]",0,OTHER,22.000
"[24, 330, 106, 336, 106, 348, 24, 346]",0,OTHER,TIẾN TRÀ LẠI
"[76, 350, 248, 356, 248, 368, 76, 364]",0,OTHER,(Giá đã bao góm thuế gigt)
"[70, 398, 248, 404, 248, 416, 70, 412]",0,OTHER,Chi xuất hóa dơn trong ngày
"[22, 414, 300, 422, 300, 434, 22, 426]",0,OTHER,Tax invoice will be issued within day
"[54, 448, 262, 452, 262, 466, 54, 460]",0,OTHER,CÁM TN QUÝ KHÁCH VÀ HỆN GIP LẠI
"[18, 464, 296, 470, 296, 482, 18, 476]",0,OTHER,Hotline: 02471066866 Website: Vinmart Com
