poly,cate_id,cate_text,vietocr_text
"[192, 92, 368, 92, 368, 112, 192, 110]",16,ADDRESS,"VM - QNH TỘ 7, KHU HÌNH TIẾN ANH"
"[220, 116, 342, 116, 342, 136, 220, 134]",16,ADDRESS,"Tổ 7, Khu Minh Tiền A"
"[36, 128, 158, 128, 158, 162, 36, 162]",15,SELLER,Vincommerce
"[206, 138, 369, 136, 371, 155, 206, 158]",16,ADDRESS,"Cầm Bình, TP. Cém Pha, ONH"
"[224, 164, 336, 164, 336, 182, 224, 182]",0,OTHER,02471086886-51561
"[152, 204, 288, 206, 288, 224, 152, 222]",0,OTHER,HÓA ƠN BÁN HẰNG
"[34, 226, 262, 228, 262, 246, 34, 244]",17,TIMESTAMP,Ngày bán: 14/08/2020 20:26
"[312, 230, 402, 230, 402, 246, 312, 246]",0,OTHER,11:00032854
"[34, 246, 108, 248, 108, 266, 34, 266]",0,OTHER,Quầy :0011
"[294, 248, 412, 252, 412, 266, 294, 268]",0,OTHER,NVBH:09025438
"[34, 292, 113, 293, 111, 312, 34, 312]",0,OTHER,Mặt hàng
"[345, 291, 403, 289, 404, 309, 346, 312]",0,OTHER,T. Tiền
"[286, 294, 304, 294, 304, 312, 286, 312]",0,OTHER,SL
"[196, 296, 251, 292, 253, 311, 196, 312]",0,OTHER,ơn giáo
"[36, 314, 367, 312, 368, 333, 36, 332]",0,OTHER,YO FRIEND BÁNH QUY SOCOLA GÓI 30G/259 19
"[366, 340, 412, 336, 412, 354, 366, 354]",0,OTHER,7.500
"[232, 338, 262, 338, 262, 356, 232, 356]",0,OTHER,500
"[34, 334, 156, 336, 155, 356, 33, 353]",0,OTHER,8858694601070
"[36, 360, 394, 358, 394, 376, 36, 378]",0,OTHER,Pepsi: Nc Good Mood vi sữa chua 455m1 224
"[366, 384, 414, 380, 414, 398, 366, 398]",0,OTHER,18.500
"[33, 379, 155, 379, 155, 399, 33, 399]",0,OTHER,8934588503054
"[216, 384, 262, 382, 262, 398, 216, 398]",0,OTHER,88 500
"[36, 404, 58, 404, 58, 422, 36, 422]",0,OTHER,KM
"[358, 406, 414, 402, 414, 420, 358, 420]",0,OTHER,21.100
"[36, 426, 396, 424, 396, 442, 36, 444]",0,OTHER,OSTAR Snack khoai tây vị tảo biển 58/T40 19
"[358, 446, 416, 446, 416, 464, 358, 464]",0,OTHER,12.000
"[208, 448, 262, 448, 262, 466, 208, 466]",0,OTHER,12.000
"[34, 448, 156, 448, 156, 468, 34, 468]",0,OTHER,8936036021646
"[36, 492, 230, 492, 230, 510, 36, 512]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[358, 492, 416, 492, 416, 508, 358, 508]",18,TOTAL_COST,26.900
"[353, 513, 408, 514, 408, 532, 350, 527]",0,OTHER,- 1 100
"[34, 514, 184, 512, 184, 532, 34, 536]",0,OTHER,TỔNG TIỀN Ả GIÁM
"[358, 536, 418, 536, 418, 554, 358, 554]",0,OTHER,26.900
"[34, 536, 166, 536, 166, 556, 34, 558]",0,OTHER,TIẾN KHÁCH TRÃ
"[360, 558, 418, 558, 418, 576, 360, 576]",0,OTHER,26.900
"[44, 560, 120, 562, 120, 580, 44, 580]",0,OTHER,TIỀN MẶT
"[34, 582, 148, 584, 148, 602, 34, 604]",0,OTHER,TIẾN TRẢ LẠI
"[108, 606, 344, 604, 344, 622, 108, 626]",0,OTHER,(Giá đã bao gồm thuế gigt)
"[98, 674, 348, 672, 348, 694, 98, 696]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[34, 702, 420, 696, 420, 714, 34, 720]",0,OTHER,Tax invoice will be issued within same day
"[80, 748, 368, 744, 368, 762, 80, 766]",0,OTHER,CÁM ON QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[32, 772, 414, 766, 414, 784, 32, 790]",0,OTHER,Hot line: 02471066866 Website: vinmart.com the an
