poly,cate_id,cate_text,vietocr_text
"[210, 88, 348, 88, 348, 106, 210, 106]",16,ADDRESS,VM TONH 1122 Thanh Minh
"[188, 110, 370, 110, 370, 128, 188, 130]",16,ADDRESS,"Số 112 Thanh Niều, P. Câm Thunh"
"[44, 124, 160, 124, 160, 158, 44, 158]",15,SELLER,Vincommerce
"[210, 132, 348, 132, 348, 150, 210, 152]",16,ADDRESS,"TP. Chm Phi, Quống Ninh Lan"
"[224, 156, 334, 156, 334, 174, 224, 174]",0,OTHER,024.7108004449871
"[152, 194, 294, 194, 294, 214, 152, 214]",0,OTHER,HÒA ĐỜN BÁN HĂNG
"[306, 214, 406, 214, 406, 234, 306, 234]",0,OTHER,10:00181619
"[42, 216, 258, 216, 258, 236, 42, 236]",17,TIMESTAMP,Ngày bản:13/08/2020 10:31
"[290, 236, 404, 236, 404, 254, 290, 254]",0,OTHER,NVBH:09015347
"[42, 238, 112, 238, 112, 256, 42, 256]",0,OTHER,Quấy:001
"[196, 278, 259, 276, 261, 295, 196, 296]",0,OTHER,Đơn giá l
"[292, 280, 310, 280, 310, 294, 292, 294]",0,OTHER,SL
"[40, 278, 114, 280, 114, 298, 40, 296]",0,OTHER,Mất hàng
"[350, 276, 406, 276, 406, 294, 350, 294]",0,OTHER,T. Tiền
"[40, 300, 346, 298, 346, 316, 40, 316]",0,OTHER,Sữa DNgiâu đạm Goldsoy VNM K.. Gi Hal
"[350, 322, 406, 318, 406, 336, 350, 336]",0,OTHER,26.800
"[40, 320, 156, 320, 156, 338, 40, 338]",0,OTHER,8934673831390
"[202, 320, 258, 320, 258, 338, 202, 338]",0,OTHER,26.800
"[38, 340, 154, 342, 154, 362, 38, 358]",0,OTHER,MÊ GÀ CP 5009
"[350, 362, 406, 362, 406, 380, 350, 378]",0,OTHER,"44,000"
"[38, 362, 154, 362, 154, 380, 38, 380]",0,OTHER,1100016000014
"[204, 366, 258, 364, 258, 380, 204, 380]",0,OTHER,"44,000"
"[38, 402, 223, 402, 225, 421, 38, 422]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[350, 404, 406, 404, 406, 422, 350, 422]",18,TOTAL_COST,70.800
"[38, 424, 190, 424, 190, 444, 38, 444]",0,OTHER,TỔNG TIẾN ĐÃ GIẢM
"[36, 446, 162, 446, 162, 466, 36, 466]",0,OTHER,TIỀN KHÁCH TRẢ)
"[350, 446, 408, 446, 408, 464, 350, 464]",0,OTHER,70.800
"[46, 468, 118, 470, 118, 486, 46, 486]",0,OTHER,TIẾN MẶT
"[350, 468, 406, 468, 406, 486, 350, 486]",0,OTHER,70.800
"[36, 488, 144, 490, 144, 510, 36, 508]",0,OTHER,TIẾN TRÃ LẠI
"[106, 512, 334, 512, 334, 530, 106, 530]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[96, 574, 336, 576, 336, 596, 96, 594]",0,OTHER,Chi xuất hóa đơn trong ngày
"[34, 598, 406, 600, 406, 618, 34, 616]",0,OTHER,Tha Tax invoice will be issued within same day sones
"[76, 640, 356, 644, 356, 662, 76, 660]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[30, 664, 398, 668, 398, 684, 30, 682]",0,OTHER,Hotline: 02471066866 Websiter Vinmart.com
