poly,cate_id,cate_text,vietocr_text
"[120, 60, 260, 60, 260, 78, 120, 78]",15,SELLER,MINIMART ANAN
"[104, 87, 274, 88, 274, 102, 102, 101]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lám
"[12, 112, 36, 112, 36, 126, 12, 126]",0,OTHER,Tel:
"[98, 140, 286, 142, 286, 164, 98, 166]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[148, 170, 178, 170, 178, 186, 148, 186]",0,OTHER,ĐVT
"[24, 172, 92, 172, 92, 190, 24, 190]",0,OTHER,Tên hàng
"[202, 172, 346, 170, 346, 186, 202, 186]",0,OTHER,Đơn giá Thành tiền
"[114, 174, 134, 174, 134, 188, 114, 188]",0,OTHER,SL
"[18, 196, 328, 196, 328, 208, 18, 214]",0,OTHER,099000805000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"[306, 214, 356, 218, 356, 232, 306, 232]",0,OTHER,"28,000"
"[214, 214, 262, 214, 262, 232, 214, 232]",0,OTHER,"14,000"
"[140, 218, 166, 218, 166, 230, 140, 230]",0,OTHER,CHA
"[20, 246, 278, 240, 278, 256, 20, 262]",0,OTHER,0991016070000 xúc xích dài nt
"[214, 264, 264, 262, 264, 280, 214, 280]",0,OTHER,"46,000"
"[140, 266, 166, 266, 166, 280, 140, 280]",0,OTHER,TUT
"[308, 264, 358, 264, 358, 282, 308, 280]",0,OTHER,"46,0100"
"[12, 296, 74, 300, 74, 314, 12, 316]",0,OTHER,Tổng số:
"[312, 316, 362, 316, 362, 334, 312, 334]",0,OTHER,"74,000"
"[12, 318, 86, 320, 86, 338, 12, 338]",0,OTHER,Tổng cộng
"[178, 340, 212, 340, 212, 356, 178, 356]",0,OTHER,VND
"[12, 340, 120, 340, 120, 356, 12, 358]",18,TOTAL_COST,Tiển khách trả:
"[304, 340, 362, 340, 362, 360, 304, 360]",18,TOTAL_COST,"200,000"
"[304, 366, 362, 366, 362, 384, 304, 384]",0,OTHER,"126,000"
"[6, 370, 116, 366, 116, 382, 6, 386]",0,OTHER,Tiến trả lại VND:
"[26, 398, 211, 394, 212, 413, 26, 418]",0,OTHER,SỐ GD: 000AC2212008001275
"[212, 396, 358, 398, 358, 416, 212, 418]",17,OTHER,Ngày: 10/08/2020-16:51
"[144, 424, 242, 424, 242, 442, 144, 440]",0,OTHER,Thu ngân: BH3
"[58, 444, 314, 448, 314, 462, 58, 460]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách
