poly,cate_id,cate_text,vietocr_text
"[84, 96, 228, 106, 224, 164, 80, 154]",0,OTHER,Payoo:
"[256, 156, 304, 156, 304, 176, 256, 176]",15,SELLER,VINNARI
"[24, 160, 88, 162, 88, 178, 24, 178]",15,SELLER,TÍN MI LY:
"[24, 182, 68, 182, 68, 200, 24, 200]",0,OTHER,ĐỊA NU
"[156, 182, 304, 178, 304, 198, 156, 198]",15,SELLER,"10 7 NHI NINH TIÊM A, P.CH THU"
"[22, 204, 86, 204, 86, 222, 22, 222]",0,OTHER,ĐIỂN THUAI S
"[242, 202, 304, 202, 304, 220, 242, 220]",0,OTHER,1900545478
"[92, 272, 233, 271, 233, 289, 92, 290]",0,OTHER,001002125822
"[58, 302, 270, 304, 270, 324, 58, 322]",0,OTHER,TỔNG KẾT GIAO ĐỊCH
"[22, 334, 80, 336, 80, 356, 22, 356]",0,OTHER,THỐI GIAN 1
"[190, 338, 306, 336, 306, 356, 190, 356]",16,ADDRESS,14/08/2020 12:18:17
"[22, 360, 190, 360, 190, 378, 22, 380]",0,OTHER,THỐI GIAN TŨNG KẾT HÀNG NGÀY
"[254, 360, 306, 360, 306, 380, 254, 380]",0,OTHER,117:00:00
"[94, 382, 212, 382, 212, 402, 94, 402]",0,OTHER,14/08/2020
"[22, 382, 74, 382, 74, 406, 22, 406]",0,OTHER,Ngày
"[24, 420, 102, 420, 102, 436, 24, 438]",0,OTHER,THU NGAN: 0001
"[248, 418, 304, 420, 304, 434, 248, 438]",0,OTHER,160.000 D
"[24, 442, 86, 440, 86, 460, 24, 460]",0,OTHER,THANH CÔNG T
"[248, 440, 294, 440, 294, 460, 248, 460]",0,OTHER,160.000
"[254, 464, 294, 464, 294, 482, 254, 482]",0,OTHER,20.000
"[96, 464, 196, 462, 196, 482, 96, 482]",0,OTHER,002603 VIETTEL20
"[22, 464, 86, 464, 86, 482, 22, 482]",0,OTHER,07.10 CIDE
"[250, 496, 304, 498, 304, 512, 250, 514]",0,OTHER,100.000
"[98, 496, 202, 494, 202, 514, 98, 514]",0,OTHER,002604 VIETIEL100
"[24, 498, 86, 496, 86, 514, 24, 514]",0,OTHER,03.09 CODE
"[24, 520, 86, 520, 86, 538, 24, 538]",0,OTHER,08:48 CODE
"[98, 520, 190, 520, 190, 538, 98, 538]",0,OTHER,002605 GARENA20
"[258, 520, 304, 520, 304, 536, 258, 536]",0,OTHER,1000000
"[278, 564, 306, 564, 306, 584, 278, 584]",17,TIMESTAMP,03
"[26, 566, 120, 564, 120, 586, 26, 586]",17,TIMESTAMP,TẠI QUÂY
"[198, 586, 304, 590, 304, 606, 198, 606]",17,TIMESTAMP,160.000 D
"[40, 624, 288, 620, 288, 640, 40, 640]",0,OTHER,NGUYGN DANG XỨ LY : LIÊN HỆ 1900 54 54 78
"[128, 646, 284, 644, 284, 664, 128, 664]",0,OTHER,KHI KIÊM TRA ĐỂ THANH TOÀN LAI
"[46, 646, 114, 646, 114, 664, 46, 664]",0,OTHER,NEU GD HÙY
"[104, 680, 214, 680, 214, 700, 104, 700]",0,OTHER,MELCONE 10 VINMART
