poly,cate_id,cate_text,vietocr_text
"[182, 84, 386, 96, 385, 119, 180, 108]",15,SELLER,MINIMARTANAN
"[152, 119, 406, 134, 406, 154, 149, 141]",16,ADDRESS,Chơ Sủi Phú Thi Gia Lâm
"[24, 152, 50, 152, 50, 170, 24, 170]",0,OTHER,Tel:
"[146, 202, 422, 212, 422, 242, 146, 234]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[34, 238, 137, 246, 135, 271, 32, 261]",0,OTHER,Tên hàng
"[168, 246, 266, 248, 266, 268, 168, 266]",0,OTHER,SL ĐVT
"[300, 252, 504, 254, 504, 274, 300, 272]",0,OTHER,Đơn giá Thành tiên
"[26, 273, 480, 286, 480, 306, 25, 297]",0,OTHER,09944550000018 mắm tôm trung thàng
"[206, 311, 249, 314, 247, 332, 205, 329]",0,OTHER,CHA
"[320, 314, 388, 316, 388, 336, 320, 336]",0,OTHER,"22,000"
"[452, 316, 516, 316, 516, 336, 452, 338]",0,OTHER,"22,000"
"[24, 348, 492, 352, 492, 372, 24, 370]",0,OTHER,1966136161648 Mắm Nam ngườm NTM
"[206, 382, 248, 382, 248, 400, 206, 400]",0,OTHER,CHA
"[456, 382, 520, 382, 520, 402, 456, 402]",0,OTHER,"14,000"
"[324, 382, 390, 382, 390, 402, 324, 404]",0,OTHER,"14,000"
"[154, 384, 164, 384, 164, 398, 154, 398]",0,OTHER,1
"[22, 420, 360, 418, 360, 440, 22, 444]",0,OTHER,02211002560000 Dầu Simply 2L NT
"[322, 452, 390, 450, 390, 472, 322, 472]",0,OTHER,"88,000"
"[456, 450, 522, 450, 522, 472, 456, 472]",0,OTHER,"88,000"
"[204, 453, 245, 450, 247, 469, 206, 472]",0,OTHER,CHA
"[12, 495, 104, 500, 104, 522, 10, 521]",0,OTHER,Tổng số:
"[452, 522, 530, 522, 530, 544, 452, 546]",18,TOTAL_COST,"124,000"
"[12, 527, 126, 533, 125, 556, 10, 554]",18,TOTAL_COST,Tổng cộng
"[452, 558, 530, 558, 530, 580, 452, 580]",0,OTHER,"200,000"
"[268, 562, 314, 562, 314, 584, 268, 584]",0,OTHER,VND
"[12, 564, 176, 562, 176, 586, 12, 590]",0,OTHER,Tiền khách trả:
"[462, 594, 530, 592, 530, 614, 462, 618]",0,OTHER,"76,000"
"[10, 608, 170, 606, 170, 628, 10, 630]",0,OTHER,Tiền trả lại VND:
"[34, 654, 317, 645, 318, 671, 34, 680]",0,TIMESTAMP,SỐ GD: 000AC2212008002083
"[320, 646, 527, 636, 528, 663, 320, 674]",17,TIMESTAMP,Ngày: 15/08/2020-16:53
"[214, 690, 362, 684, 362, 710, 214, 712]",0,OTHER,Thu ngân: BH3
"[84, 726, 454, 712, 454, 734, 84, 748]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách
