poly,cate_id,cate_text,vietocr_text
"[284, 124, 521, 84, 527, 114, 284, 154]",15,SELLER,Phúc Anh Minimart
"[228, 156, 576, 124, 576, 158, 226, 187]",16,ADDRESS,248 CA 1 Gia Lâm - Hà Nội
"[324, 210, 472, 183, 477, 215, 330, 242]",0,OTHER,0945984733
"[262, 310, 540, 286, 544, 320, 259, 343]",0,OTHER,HÓA ĐƠN BÁN HẮNG
"[48, 350, 244, 367, 241, 398, 48, 382]",0,OTHER,Số: SONO5714
"[528, 350, 765, 327, 768, 358, 528, 384]",0,OTHER,Ngày: 14-08-2020
"[46, 479, 348, 498, 348, 530, 44, 510]",0,OTHER,Khách hàng: chị thủy
"[46, 528, 350, 547, 347, 578, 46, 558]",0,OTHER,Điện thoại: 0976831088
"[46, 572, 148, 576, 148, 604, 46, 604]",0,OTHER,Địa chỉ:
"[46, 650, 86, 650, 86, 678, 46, 678]",0,OTHER,SL
"[609, 650, 764, 642, 764, 676, 610, 681]",0,OTHER,Thành tiền
"[336, 664, 434, 660, 434, 696, 336, 694]",0,OTHER,Đơn giá
"[48, 720, 318, 728, 318, 756, 48, 748]",0,OTHER,Bánh gạo An tảo 14P
"[678, 774, 764, 774, 764, 802, 678, 802]",0,OTHER,"15,000"
"[350, 780, 424, 780, 424, 806, 350, 806]",0,OTHER,"15,000"
"[50, 836, 276, 842, 276, 874, 50, 866]",0,OTHER,Corn Chip bơ 35g
"[52, 892, 66, 892, 66, 912, 52, 912]",0,OTHER,2
"[354, 894, 418, 894, 418, 920, 354, 918]",0,OTHER,"5,000"
"[675, 898, 763, 898, 763, 926, 675, 926]",0,OTHER,"10,000"
"[50, 954, 409, 959, 407, 989, 50, 984]",0,OTHER,Nước rau câu Long Hải 475g
"[354, 1006, 418, 1006, 418, 1032, 354, 1030]",0,OTHER,"9,000"
"[690, 1018, 764, 1018, 764, 1044, 690, 1042]",0,OTHER,"9,000"
"[48, 1072, 346, 1074, 346, 1100, 48, 1100]",0,OTHER,Tăm trẻ em gói 100 que
"[354, 1120, 416, 1120, 416, 1146, 354, 1144]",0,OTHER,"6,000"
"[690, 1137, 763, 1141, 761, 1169, 688, 1165]",0,OTHER,"6,000"
"[46, 1188, 332, 1188, 332, 1214, 46, 1216]",0,OTHER,Tăm nhựa gói 100 que
"[354, 1234, 414, 1234, 414, 1262, 354, 1256]",0,OTHER,"8,000"
"[690, 1259, 760, 1262, 759, 1286, 689, 1283]",0,OTHER,"8,000"
"[46, 1304, 254, 1304, 254, 1332, 46, 1332]",0,OTHER,Kạo Shake Cam
"[352, 1348, 415, 1350, 413, 1377, 352, 1370]",0,OTHER,"5,000"
"[690, 1378, 760, 1378, 760, 1406, 690, 1406]",0,OTHER,"5,000"
"[48, 1405, 240, 1415, 237, 1445, 45, 1434]",0,OTHER,Cộng tiền hàng
"[666, 1438, 760, 1438, 760, 1466, 666, 1466]",0,OTHER,"53,000"
"[50, 1448, 182, 1450, 182, 1480, 50, 1478]",0,OTHER,Chiết khấu
"[740, 1486, 756, 1486, 756, 1506, 740, 1506]",0,OTHER,O
"[52, 1486, 242, 1496, 242, 1524, 50, 1515]",18,TOTAL_COST,Khách phảl trả đi
"[666, 1522, 758, 1526, 758, 1552, 664, 1547]",18,TOTAL_COST,"53,000"
"[52, 1526, 239, 1542, 237, 1564, 52, 1558]",0,OTHER,Tiền khách đưang
"[650, 1563, 756, 1566, 756, 1592, 648, 1589]",0,OTHER,"100,000"
"[54, 1568, 126, 1572, 126, 1596, 54, 1592]",0,OTHER,Trả lại 
"[664, 1608, 756, 1606, 756, 1632, 664, 1628]",0,OTHER,"147,000"
"[204, 1630, 596, 1654, 596, 1682, 202, 1657]",0,OTHER,"Cám ơn quy khách, Hẹn gặp lại."
