poly,cate_id,cate_text,vietocr_text
"[240, 108, 448, 100, 448, 118, 240, 128]",16,ADDRESS,"VM 1 QNH TÓ 7, KHU MINH TIÊN ANH"
"[270, 132, 414, 130, 414, 148, 270, 154]",16,ADDRESS,"Tố 7, Khu Minh Tiên An"
"[66, 160, 198, 160, 198, 194, 66, 194]",15,SELLER,Vincommerce
"[240, 162, 448, 154, 448, 174, 240, 180]",16,ADDRESS,"P. Cam Bình, TP. Càm Pha, QNH"
"[273, 186, 408, 182, 408, 204, 274, 208]",0,OTHER,02471066886-51561
"[188, 236, 348, 234, 348, 254, 188, 256]",0,OTHER,HÓA ƠN BÁN HẢNG
"[374, 256, 488, 256, 488, 278, 374, 278]",0,OTHER,H:00032762
"[58, 264, 314, 260, 314, 280, 58, 286]",17,TIMESTAMP,Ngày bán:14/08/2020 12:36
"[354, 282, 498, 282, 498, 304, 354, 304]",0,OTHER,NVBH:09025438
"[58, 288, 138, 288, 138, 308, 58, 310]",0,OTHER,Quầy:001
"[420, 340, 488, 334, 488, 358, 420, 358]",0,OTHER,T. Tiển
"[238, 340, 302, 338, 302, 362, 238, 360]",0,OTHER,lơn giáo
"[56, 340, 139, 341, 137, 362, 56, 362]",0,OTHER,Mặt hàng
"[342, 340, 364, 340, 364, 358, 342, 358]",0,OTHER,SL
"[54, 366, 386, 364, 386, 388, 54, 386]",0,OTHER,Kiwi vàng Newzea Tand (2Trái/Hộp)
"[428, 392, 496, 390, 496, 412, 428, 412]",0,OTHER,57.900
"[54, 392, 188, 392, 188, 412, 54, 412]",0,OTHER,8936052001462
"[248, 392, 314, 392, 314, 412, 248, 412]",0,OTHER,57.900
"[52, 440, 272, 442, 272, 464, 52, 462]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[426, 446, 498, 446, 498, 466, 426, 466]",18,TOTAL_COST,57.900
"[50, 466, 220, 468, 220, 490, 50, 488]",0,OTHER,TỔNG TIẾN Ả GIẢM
"[50, 492, 198, 492, 198, 516, 50, 514]",0,OTHER,TIẾN KHÁCH TRẢ
"[426, 500, 498, 500, 498, 520, 426, 520]",0,OTHER,57.900
"[58, 518, 144, 522, 144, 542, 58, 542]",0,OTHER,TIỀN MẶT
"[426, 526, 496, 528, 496, 548, 426, 546]",0,OTHER,57 900
"[46, 544, 176, 548, 176, 570, 46, 568]",0,OTHER,TIẾN TRẢ LẠI
"[128, 574, 407, 579, 405, 602, 128, 596]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[114, 654, 408, 664, 408, 688, 114, 678]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[40, 682, 496, 696, 496, 718, 40, 702]",0,OTHER,Tax invoice will be issued within same day
"[88, 736, 432, 752, 432, 774, 88, 758]",0,OTHER,CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[36, 762, 488, 784, 488, 804, 36, 784]",0,OTHER,"Hotline: 02471066866 Website: Vinmart, com"
