poly,cate_id,cate_text,vietocr_text
"[50, 90, 406, 92, 406, 116, 50, 110]",15,SELLER,SCTC CỔ THỎ 104 TRẦN PHÚ - CẨM
"[208, 118, 250, 118, 250, 140, 208, 140]",15,SELLER,PHẢ
"[38, 146, 418, 150, 418, 168, 38, 162]",16,ADDRESS,104 Trần Phú 1 phường Cẩm Tây Tẩm
"[160, 170, 298, 174, 298, 190, 160, 188]",16,ADDRESS,Phá - Quảng Ninh
"[150, 192, 306, 194, 306, 212, 150, 210]",0,OTHER,Hotline: 0963133818
"[118, 222, 340, 222, 340, 244, 118, 242]",0,OTHER,PHÓA ĐƠN THANH TOÁN
"[185, 258, 272, 256, 272, 276, 186, 276]",0,OTHER,(MANG VỀ)
"[168, 290, 286, 288, 286, 306, 168, 304]",0,OTHER,S6: 2003000927
"[26, 314, 100, 316, 100, 328, 26, 328]",0,OTHER,Số chở: 12
"[24, 340, 266, 346, 266, 360, 24, 358]",17,TIMESTAMP,Ngày: 10/08/2020 (08.57 CH - 0757 C11)
"[24, 370, 190, 374, 190, 386, 24, 384]",0,OTHER,Thu ngân: thu ngan 1041p
"[86, 412, 150, 414, 150, 428, 86, 428]",0,OTHER,Tên mơn
"[250, 412, 274, 412, 274, 428, 250, 428]",0,OTHER,ĐG
"[192, 412, 210, 412, 210, 428, 192, 428]",0,OTHER,SL
"[310, 422, 336, 422, 336, 440, 310, 440]",0,OTHER,KM
"[58, 454, 158, 454, 158, 470, 58, 468]",0,OTHER,Sừa chua việt
"[248, 462, 302, 462, 302, 478, 248, 478]",0,OTHER,35.000
"[370, 462, 422, 462, 422, 480, 370, 480]",0,OTHER,35.000
"[56, 474, 94, 474, 94, 488, 56, 492]",0,OTHER,quất
"[56, 500, 160, 502, 160, 518, 56, 518]",0,OTHER,Sữa chua dâu
"[248, 500, 298, 500, 298, 516, 248, 516]",0,OTHER,35.000
"[372, 504, 422, 504, 422, 518, 372, 518]",0,OTHER,35.000
"[54, 534, 162, 536, 162, 550, 54, 550]",0,OTHER,Sửa chua xoài
"[248, 534, 298, 532, 298, 550, 248, 550]",0,OTHER,35.000
"[372, 534, 422, 534, 422, 552, 372, 552]",0,OTHER,35.000
"[56, 566, 126, 566, 126, 580, 56, 580]",0,OTHER,Sữa chua
"[250, 574, 298, 572, 298, 588, 250, 588]",0,OTHER,25 000
"[372, 574, 424, 574, 424, 592, 372, 592]",0,OTHER,25.000
"[56, 588, 112, 586, 112, 600, 56, 600]",0,OTHER,matcha
"[248, 612, 298, 610, 298, 628, 248, 628]",0,OTHER,35.000
"[56, 616, 150, 616, 150, 628, 56, 630]",0,OTHER,Sửa chua bot
"[372, 614, 424, 614, 424, 632, 372, 630]",0,OTHER,35.000
"[372, 648, 424, 648, 424, 666, 372, 664]",0,OTHER,"25,000"
"[248, 644, 298, 644, 298, 662, 248, 662]",0,OTHER,25.000
"[52, 648, 170, 650, 170, 664, 52, 664]",0,OTHER,Sữa chua cacao
"[326, 682, 428, 682, 428, 708, 326, 704]",18,TOTAL_COST,190.000d
"[24, 679, 194, 682, 194, 702, 21, 703]",18,TOTAL_COST,Tổng thanh toáng
"[24, 718, 88, 722, 88, 736, 24, 736]",0,OTHER,Tiền mạt
"[362, 718, 429, 719, 427, 738, 362, 736]",0,OTHER,190.000d
"[24, 752, 134, 752, 134, 770, 24, 770]",0,OTHER,Trá lại khách
"[404, 754, 428, 754, 428, 772, 404, 772]",0,OTHER,Od
"[146, 798, 308, 800, 308, 814, 146, 816]",0,OTHER,Trân trọng cảm ơn:
"[106, 844, 364, 844, 364, 862, 106, 860]",0,OTHER,CUKCUK MỘT SẢN PHẨM CỦA MISAN
