poly,cate_id,cate_text,vietocr_text
"[197, 90, 383, 80, 384, 100, 198, 110]",15,SELLER,MINIMART ANAN
"[172, 120, 406, 112, 406, 128, 171, 135]",16,ADDRESS,Chợ Súi Phu Thị Gia Lam
"[50, 150, 82, 150, 82, 164, 50, 164]",0,OTHER,rei:
"[164, 182, 425, 170, 427, 197, 164, 212]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[306, 212, 510, 198, 510, 218, 306, 228]",0,OTHER,Đơn giá Thành tiến
"[64, 222, 272, 214, 272, 234, 64, 240]",0,OTHER,Tên hàng sl đvt
"[53, 250, 464, 228, 464, 248, 54, 270]",0,OTHER,8934673601825 Sữa chua nho ginh
"[342, 264, 395, 257, 397, 277, 342, 282]",0,OTHER,"7,000"
"[48, 276, 166, 272, 166, 292, 48, 296]",0,OTHER,Giá đăng ký:
"[464, 282, 532, 280, 532, 302, 464, 304]",0,OTHER,"26,000"
"[340, 292, 396, 288, 396, 310, 340, 312]",0,OTHER,"6,500"
"[214, 298, 255, 295, 257, 313, 216, 316]",0,OTHER,HOP
"[46, 306, 128, 304, 128, 324, 46, 326]",0,OTHER,Giá bán:
"[45, 341, 504, 318, 504, 340, 46, 363]",0,OTHER,0994673606820 Sữa chua đường NT
"[346, 358, 401, 353, 403, 375, 346, 378]",0,OTHER,"6,000"
"[42, 372, 160, 368, 160, 390, 42, 392]",0,OTHER,Giá đăng ký
"[472, 384, 544, 382, 544, 404, 472, 406]",0,OTHER,"21,000"
"[342, 390, 401, 386, 403, 408, 344, 412]",0,OTHER,"5,250"
"[216, 396, 258, 396, 258, 414, 216, 414]",0,OTHER,HOP
"[40, 404, 124, 402, 124, 424, 40, 426]",0,OTHER,Giá bán:
"[30, 446, 118, 448, 118, 470, 28, 473]",0,OTHER,Tổng số:
"[482, 460, 556, 458, 556, 482, 482, 482]",0,OTHER,"47,000"
"[30, 476, 138, 480, 138, 502, 28, 505]",0,OTHER,Tổng cộng
"[486, 506, 562, 504, 562, 530, 486, 528]",18,TOTAL_COST,"47,000"
"[30, 524, 126, 524, 126, 550, 30, 554]",18,TOTAL_COST,Tổng tiền
"[488, 542, 563, 539, 565, 568, 490, 571]",0,OTHER,"47,000"
"[288, 552, 338, 552, 338, 576, 288, 576]",0,OTHER,VND
"[30, 556, 189, 552, 191, 575, 30, 584]",0,OTHER,Tiền khách trả:
"[52, 608, 333, 599, 334, 626, 52, 636]",0,TIMESTAMP,SỐ GD: 000AC2212008002281
"[336, 598, 561, 589, 563, 615, 336, 630]",17,TIMESTAMP,Ngày: 16/08/2020-16:53
"[232, 644, 384, 638, 384, 664, 232, 666]",0,OTHER,Thu ngân: BH3
"[106, 678, 479, 660, 481, 681, 106, 700]",0,OTHER,Xin cám ơn và hen gắp lai quý khách thuy
