poly,cate_id,cate_text,vietocr_text
"[216, 90, 486, 92, 485, 119, 216, 116]",15,SELLER,MINIMARTANAN
"[178, 136, 518, 136, 518, 160, 178, 162]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm
"[8, 180, 48, 180, 48, 202, 8, 202]",0,OTHER,Tel:
"[166, 234, 540, 236, 540, 276, 166, 278]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[374, 294, 658, 292, 658, 320, 374, 322]",0,OTHER,Đơn giá Thành tiền
"[28, 298, 158, 300, 155, 331, 28, 324]",0,OTHER,Tên hàng
"[198, 296, 326, 296, 326, 322, 198, 322]",0,OTHER,SL ĐVT
"[18, 342, 514, 338, 514, 366, 18, 370]",0,OTHER,0291020570000 GVS watersilk 3 lớp NT
"[586, 380, 678, 380, 678, 408, 586, 410]",0,OTHER,"66,000"
"[248, 384, 300, 384, 300, 406, 248, 406]",0,OTHER,GOI
"[402, 382, 494, 380, 494, 410, 402, 412]",0,OTHER,"66,000"
"[8, 438, 122, 444, 122, 472, 5, 471]",0,OTHER,Tổng số:
"[592, 480, 684, 478, 684, 506, 592, 510]",18,TOTAL_COST,"66,000"
"[8, 479, 149, 487, 147, 516, 5, 513]",18,TOTAL_COST,Tổng cộng
"[8, 524, 214, 524, 214, 554, 8, 554]",0,OTHER,Tiền khách trả:
"[578, 526, 684, 526, 684, 554, 578, 556]",0,OTHER,"100,000"
"[330, 528, 392, 528, 392, 556, 330, 556]",0,OTHER,VND
"[592, 576, 684, 574, 684, 604, 592, 606]",0,OTHER,"34,000"
"[8, 578, 208, 578, 208, 606, 8, 608]",0,OTHER,Tiền trả lại VND:
"[36, 638, 394, 638, 394, 670, 36, 670]",0,TIMESTAMP,SỐ GD: 000AC2212008001472
"[400, 638, 680, 636, 680, 666, 400, 672]",17,TIMESTAMP,Ngày: 11/08/2020-17:21
"[262, 692, 454, 690, 454, 718, 262, 722]",0,OTHER,Thu ngân: BH3
"[98, 728, 588, 726, 588, 740, 96, 757]",0,OTHER,Xi Vi Tin cám ơn và hen gắp lai quá khách thuy khách
